,上場日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
71,2015/04/24,（株）レントラックス,6045,369,100.0,"1,630","1,750",マザーズ,1750,,55
72,2015/04/22,日本スキー場開発（株） 代表者インタビュー,6040,62,100.0,"3,330","3,570",マザーズ,3570,560 ,93.3
73,2015/04/21,（株）シーアールイー  代表者インタビュー,3458,1457.9,100.0,"3,450","3,620",第二部,3620,,218.6
74,2015/04/20,Ｈａｍｅｅ（株）  代表者インタビュー,3134,310,100.0,"2,230","2,530",マザーズ,2530,87 ,59.5
75,2015/04/17,（株）海帆  代表者インタビュー,3133,300,100.0,950,"1,020",マザーズ,1020,300 ,90
76,2015/04/08,サンバイオ（株）  代表者インタビュー,4592,4000,100.0,"1,600","2,000",マザーズ,2000,"2,500 ",975
77,2015/04/01,マクニカ・富士エレホールディングス（株）,3132,-,100.0,0,0,第一部,-,0,0
78,2015/04/01,ＧＭＯクリックホールディングス（株）,7177,-,100.0,0,0,JQスタンダード,-,0,0
79,2015/03/27,（株）sMedio  代表者インタビュー,3913,168.4,100.0,"2,400","2,520",マザーズ,2520,209.1 ,55
80,2015/03/26,（株）モバイルファクトリー  代表者インタビュー,3912,245,100.0,"1,310","1,410",マザーズ,1410,702 ,134
81,2015/03/26,（株）日本動物高度医療センター  代表者インタビュー,6039,133,100.0,"1,080","1,130",マザーズ,1130,592.3 ,108.7
82,2015/03/26,（株）プラッツ 代表者インタビュー,7813,120,100.0,"3,000","3,260",マザーズ,3260,41.4 ,24.2
83,2015/03/25,シンデン・ハイテックス（株）,3131,100,100.0,"2,640","2,740",JQスタンダード,2740,26 ,18.9
84,2015/03/25,（株）ハウスドゥ  代表者インタビュー,3457,123,100.0,"3,430","3,600",マザーズ,3600,63.1 ,27.9
85,2015/03/25,（株）Aiming  代表者インタビュー,3911,2400,100.0,900,920,マザーズ,920,"3,200 ",840
86,2015/03/24,ファーストコーポレーション（株）  代表者インタビュー,1430,252.5,100.0,"1,530","1,600",マザーズ,1600,390 ,96.3
87,2015/03/24,（株）ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ  代表者インタビュー,3445,330,100.0,"2,550","2,750",マザーズ,2750,750 ,162
88,2015/03/24,（株）イード  代表者インタビュー,6038,350,100.0,"1,300","1,400",マザーズ,1400,598.7 ,142.3
