,上場日,上場承認日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
57,2016/06/17  ,2016/05/13,（株）やまみ  代表者インタビュー,2820,720,100.0,"1,650","1,690",JQスタンダード,1690,350,160.5
58,2016/06/16  ,2016/05/13,（株）農業総合研究所  代表者インタビュー,3541,270,100.0,"1,010","1,050",マザーズ,1050,100,55.5
59,2016/06/15  ,2016/05/13,（株）アトラエ  代表者インタビュー,6194,95,100.0,"5,030","5,400",マザーズ,5400,129,33.6
60,2016/06/15  ,2016/05/13,（株）ホープ  代表者インタビュー,6195,110,100.0,"1,300","1,400",マザーズ,1400,158.5,40.2
61,2016/04/21  ,2016/04/14,（株）メンバーズ  代表者インタビュー,2130,-,100.0,0,0,第二部,-,0,0
62,2016/04/21  ,2016/03/16,（株）ジャパンミート  代表者インタビュー,3539,3750,100.0,910,"1,010",第二部,1010,450,630
63,2016/04/19  ,2016/03/16,（株）グローバルウェイ,3936,100,100.0,"2,760","2,960",マザーズ,2960,30,19.5
64,2016/04/15  ,2016/03/11,（株）エディア  代表者インタビュー,3935,160,100.0,"1,510","1,630",マザーズ,1630,83,36.4
65,2016/04/05  ,2016/03/02,ハイアス・アンド・カンパニー（株）  代表者インタビュー,6192,470,100.0,850,950,マザーズ,950,,70
66,2016/04/01  ,2016/03/01,伊藤ハム米久ホールディングス（株） *,2296,-,100.0,0,0,第一部,-,0,0
67,2016/04/01  ,2016/03/01,ＮＣホールディングス（株） *,6236,-,100.0,0,0,第一部,-,0,0
68,2016/04/01  ,2016/03/01,（株）コンコルディア・フィナンシャルグループ *,7186,-,100.0,0,0,第一部,-,0,0
69,2016/03/31  ,2016/02/26,（株）ＰＲ　ＴＩＭＥＳ  代表者インタビュー,3922,460,100.0,"1,220","1,340",マザーズ,1340,300,114
70,2016/03/31  ,2016/02/26,（株）エボラブルアジア  代表者インタビュー,6191,620,100.0,"1,660","1,800",マザーズ,1800,377.2,149.5
71,2016/03/24  ,2016/02/19,（株）ウイルプラスホールディングス  代表者インタビュー,3538,400.1,100.0,"1,730","1,880",JQスタンダード,1880,124,78.6
72,2016/03/24  ,2016/02/19,（株）ベネフィットジャパン  代表者インタビュー,3934,250,100.0,"1,680","1,980",マザーズ,1980,200,67.5
73,2016/03/22  ,2016/02/16,チエル（株）  代表者インタビュー,3933,140,100.0,730,810,JQスタンダード,810,317,68.5
74,2016/03/18  ,2016/02/15,アグレ都市デザイン（株）  代表者インタビュー,3467,240,100.0,"1,670","1,730",JQスタンダード,1730,,36
75,2016/03/18  ,2016/02/15,（株）グローバルグループ  代表者インタビュー,6189,1250,100.0,"1,900","2,000",マザーズ,2000,576.3,250
76,2016/03/18  ,2016/02/15,（株）フェニックスバイオ  代表者インタビュー,6190,300,100.0,"1,800","2,400",マザーズ,2400,110,61.5
77,2016/03/18  ,2016/02/15,（株）イワキ（銘柄名：（株）イワキポンプ）  代表者インタビュー,6237,600,100.0,"1,900","2,000",第二部,2000,,90
78,2016/03/18  ,2016/02/12,ヒロセ通商（株）  代表者インタビュー,7185,570,100.0,800,830,JQスタンダード,830,530,165
79,2016/03/18  ,2016/02/16,（株）アイドママーケティングコミュニケーション  代表者インタビュー,9466,700,100.0,"1,300","1,440",マザーズ,1440,900,240
80,2016/03/17  ,2016/02/12,（株）アカツキ  代表者インタビュー,3932,2200,100.0,"1,800","1,930",マザーズ,1930,"1,100",495
81,2016/03/16  ,2016/02/12,昭栄薬品（株）  代表者インタビュー,3537,200,100.0,"1,330","1,350",JQスタンダード,1350,100,45
82,2016/03/15  ,2016/02/09,富士ソフトサービスビューロ（株）  代表者インタビュー,6188,352,100.0,800,890,JQスタンダード,890,352,105.6
83,2016/03/15  ,2016/02/09,ユー・エム・シー・エレクトロニクス（株）  代表者インタビュー,6615,1613,100.0,"3,000","3,100",第一部,3000,450,309.4
84,2016/03/15  ,2016/02/12,（株）富山第一銀行  代表者インタビュー,7184,5660,100.0,440,470,第一部,470,,840
85,2016/03/14  ,2016/02/08,（株）LITALICO,6187,320,100.0,930,"1,000",マザーズ,1000,"1,218",230.7
86,2016/03/11  ,2016/02/05,（株）フィット  代表者インタビュー,1436,1070,100.0,"1,750","1,890",マザーズ,1890,,100
87,2016/03/09  ,2016/02/04,（株）ブラス,2424,200,100.0,"4,000","4,370",マザーズ,4370,,30
88,2016/03/04  ,2016/02/01,（株）ヨシムラ・フード・ホールディングス  代表者インタビュー,2884,300,100.0,820,880,マザーズ,880,,45
89,2016/03/03  ,2016/01/28,中本パックス（株）,7811,550,100.0,"1,440","1,470",第二部,1470,570.8,168.1
90,2016/03/02  ,2016/01/27,（株）バリューゴルフ  代表者インタビュー,3931,320,100.0,"1,220","1,280",マザーズ,1280,,48
91,2016/03/01  ,2016/02/01,アクサスホールディングス（株） *,3536,-,100.0,0,0,JQスタンダード,-,0,0
92,2016/02/24  ,2016/01/21,（株）はてな  代表者インタビュー,3930,370,100.0,700,800,マザーズ,800,385,113.2
